Prodotto,Quantità,PrezzoUnitario,Città
Laptop,1,1200.50,Roma
Smartphone,4,699.99,Milano
Tablet,7,350.00,Napoli
Cuffie,10,89.90,Torino
Monitor,13,249.00,Firenze
Tastiera,16,45.75,Genova
Mouse,19,25.20,Bologna
Stampante,22,150.00,Palermo
Hard Disk,25,95.40,Verona
Smartwatch,3,199.99,Trieste
Router,6,79.99,Bari
Webcam,9,59.50,Cagliari
Speaker,12,120.00,Roma
Microfono,15,85.00,Milano
Chiavetta USB,18,15.00,Napoli
Power Bank,21,39.99,Torino
Caricatore,24,19.90,Firenze
Sedia Ufficio,2,180.00,Genova
Scrivania,5,350.00,Bologna
Zaino,8,55.00,Palermo
Laptop,11,1200.50,Verona
Smartphone,14,699.99,Trieste
Tablet,17,350.00,Bari
Cuffie,20,89.90,Cagliari
Monitor,23,249.00,Roma
Tastiera,1,45.75,Milano
Mouse,4,25.20,Napoli
Stampante,7,150.00,Torino
Hard Disk,10,95.40,Firenze
Smartwatch,13,199.99,Genova
Router,16,79.99,Bologna
Webcam,19,59.50,Palermo
Speaker,22,120.00,Verona
Microfono,25,85.00,Trieste
Chiavetta USB,3,15.00,Bari
Power Bank,6,39.99,Cagliari
Caricatore,9,19.90,Roma
Sedia Ufficio,12,180.00,Milano
Scrivania,15,350.00,Napoli
Zaino,18,55.00,Torino
Laptop,21,1200.50,Firenze
Smartphone,24,699.99,Genova
Tablet,2,350.00,Bologna
Cuffie,5,89.90,Palermo
Monitor,8,249.00,Verona
Tastiera,11,45.75,Trieste
Mouse,14,25.20,Bari
Stampante,17,150.00,Cagliari
Hard Disk,20,95.40,Roma
Smartwatch,23,199.99,Milano
